Time 1XX 1ZZ 2XX 2ZZ 1X2Z 1Z2X 
-5.800000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
-5.750000, 371.484558, 371.484558, 214677.890625, 214677.890625, 7023.809570, 11354.167969
-5.700000, 1629.044434, 1629.044434, 834128.250000, 834128.250000, 27356.621094, 49684.417969
-5.650000, 2885.830078, 2885.830078, 1434798.000000, 1434798.000000, 44496.886719, 92106.468750
-5.600000, 3547.552734, 3547.552734, 1835111.875000, 1835111.875000, 57555.097656, 114437.203125
-5.550000, 5360.847168, 5360.847168, 2386726.000000, 2386726.000000, 89092.578125, 146136.281250
-5.500000, 7579.675781, 7579.675781, 2938271.000000, 2938271.000000, 115382.343750, 190295.125000
-5.450000, 8054.154297, 8054.154297, 3398965.750000, 3398965.750000, 124615.437500, 219508.531250
-5.400000, 8981.802734, 8981.802734, 3936492.500000, 3936492.500000, 148525.703125, 245025.750000
-5.350000, 10536.938477, 10536.938477, 4448301.000000, 4448301.000000, 168266.671875, 270187.406250
-5.300000, 10942.304688, 10942.304688, 4970293.000000, 4970293.000000, 179491.921875, 295586.093750
-5.250000, 12281.914062, 12281.914062, 5488321.500000, 5488321.500000, 208934.296875, 327060.375000
-5.200000, 13713.756836, 13713.756836, 5969015.500000, 5969015.500000, 228526.718750, 353821.375000
-5.150000, 14505.668945, 14505.668945, 6486641.500000, 6486641.500000, 238078.718750, 401637.812500
-5.100000, 15892.215820, 15892.215820, 7031464.500000, 7031464.500000, 263939.656250, 432417.781250
-5.050000, 15039.236328, 15039.236328, 7695470.000000, 7695470.000000, 282822.250000, 402711.156250
-5.000000, 13276.627930, 13276.627930, 8419429.000000, 8419429.000000, 285451.187500, 373781.281250
-4.950000, 11351.788086, 11351.788086, 9243023.000000, 9243023.000000, 310213.468750, 310583.906250
-4.900000, 8551.654297, 8551.654297, 10132496.000000, 10132496.000000, 361620.218750, 238486.390625
-4.850000, 9711.732422, 9711.732422, 10597745.000000, 10597745.000000, 378552.812500, 271061.781250
-4.800000, 12568.876953, 12568.876953, 10602293.000000, 10602293.000000, 366004.000000, 420649.562500
-4.750000, 14595.919922, 14595.919922, 10456991.000000, 10456991.000000, 367691.843750, 591308.500000
-4.700000, 16999.037109, 16999.037109, 10432105.000000, 10432105.000000, 355262.250000, 608764.625000
-4.650000, 19160.654297, 19160.654297, 10664600.000000, 10664600.000000, 340832.437500, 566143.500000
-4.600000, 18489.318359, 18489.318359, 11072095.000000, 11072095.000000, 345741.625000, 479689.562500
-4.550000, 7124.634766, 7124.634766, 11839535.000000, 11839535.000000, 360677.500000, 191092.656250
-4.500000, -3176.215332, -3176.215332, 12837027.000000, 12837027.000000, 396628.562500, -49527.500000
-4.450000, -2554.888184, -2554.888184, 13748108.000000, 13748108.000000, 420434.875000, -5600.156250
-4.400000, -2550.075195, -2550.075195, 14681494.000000, 14681494.000000, 437782.093750, 254759.156250
-4.350000, 7412.068359, 7412.068359, 15590613.000000, 15590613.000000, 464263.000000, 605791.750000
-4.300000, 33441.164062, 33441.164062, 16342440.000000, 16342440.000000, 470880.250000, 1177581.000000
-4.250000, 59620.367188, 59620.367188, 16739724.000000, 16739724.000000, 479019.843750, 1933535.750000
-4.200000, 75725.031250, 75725.031250, 16720659.000000, 16720659.000000, 475072.468750, 2337531.500000
-4.150000, 84654.312500, 84654.312500, 16609013.000000, 16609013.000000, 460962.281250, 2469048.250000
-4.100000, 89351.750000, 89351.750000, 16594730.000000, 16594730.000000, 460229.593750, 2507548.750000
-4.050000, 74716.507812, 74716.507812, 16784018.000000, 16784018.000000, 441098.593750, 2206856.750000
-4.000000, 67451.835938, 67451.835938, 17144400.000000, 17144400.000000, 421434.468750, 1880755.500000
-3.950000, 70678.257812, 70678.257812, 17618914.000000, 17618914.000000, 406350.687500, 1585814.500000
-3.900000, 35658.636719, 35658.636719, 18355896.000000, 18355896.000000, 414855.000000, 1101583.750000
-3.850000, 20127.066406, 20127.066406, 19219004.000000, 19219004.000000, 455042.156250, 793394.250000
-3.800000, 35851.628906, 35851.628906, 20017340.000000, 20017340.000000, 464995.718750, 806274.187500
-3.750000, 11990.986328, 11990.986328, 20864310.000000, 20864310.000000, 480513.937500, 1002883.125000
-3.700000, 4867.466309, 4867.466309, 21733882.000000, 21733882.000000, 500372.937500, 1326094.625000
-3.650000, 37228.851562, 37228.851562, 22380778.000000, 22380778.000000, 489145.468750, 1719685.000000
-3.600000, 51127.863281, 51127.863281, 22787678.000000, 22787678.000000, 482082.031250, 2140125.750000
-3.550000, 53296.867188, 53296.867188, 23095912.000000, 23095912.000000, 495080.750000, 2415335.500000
-3.500000, 68644.265625, 68644.265625, 23368476.000000, 23368476.000000, 544710.625000, 2489246.750000
-3.450000, 79455.234375, 79455.234375, 23754052.000000, 23754052.000000, 547152.250000, 2358524.000000
-3.400000, 57504.085938, 57504.085938, 24247586.000000, 24247586.000000, 504279.750000, 2051905.625000
-3.350000, 44720.804688, 44720.804688, 24764628.000000, 24764628.000000, 496242.406250, 1770372.500000
-3.300000, 43823.671875, 43823.671875, 25332922.000000, 25332922.000000, 470598.531250, 1614539.250000
-3.250000, 23617.507812, 23617.507812, 25865340.000000, 25865340.000000, 506512.781250, 1592168.500000
-3.200000, 27554.849609, 27554.849609, 26425810.000000, 26425810.000000, 576558.187500, 1524530.250000
-3.150000, 28747.525391, 28747.525391, 26996436.000000, 26996436.000000, 556355.812500, 1436867.875000
-3.100000, 18291.482422, 18291.482422, 27469570.000000, 27469570.000000, 521202.937500, 1503194.500000
